DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
2, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.914096+(0.000180015*x))+0.18516047298908234" 
2, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.914096+(0.000180015*x))+0.23135600984096527" 
2, mujets, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.914096+(0.000180015*x))+0.1590622216463089" 
2, mujets, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.914096+(0.000180015*x))+0.24418488144874573" 
2, mujets, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.914096+(0.000180015*x))+0.084945507347583771" 
2, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.914096+(0.000180015*x))+0.04016001895070076" 
2, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.914096+(0.000180015*x))+0.024314561858773232" 
2, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.914096+(0.000180015*x))+0.023898744955658913" 
2, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.914096+(0.000180015*x))+0.038249485194683075" 
2, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.914096+(0.000180015*x))+0.092580236494541168" 
2, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.914096+(0.000180015*x))+0.11567800492048264" 
2, mujets, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.914096+(0.000180015*x))+0.079531110823154449" 
2, mujets, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.914096+(0.000180015*x))+0.12209244072437286" 
